MW,ALogP,PSA,NumHDonors,NumHAcceptors,pIC50
322.32,2.365680000000001,106.49000000000001,3.0,6.0,4.301029995663981
322.32,2.365680000000001,106.49000000000001,3.0,6.0,4.301029995663981
302.23800000000006,1.988,131.36,5.0,7.0,4.301029995663981
302.23800000000006,1.988,131.36,5.0,7.0,5.0915149811213505
314.249,2.3055000000000008,109.36000000000001,3.0,7.0,4.301029995663981
314.249,2.3055000000000008,109.36000000000001,3.0,7.0,4.301029995663981
426.80800000000016,4.514800000000003,120.36000000000001,4.0,7.0,4.679853713888946
426.80800000000016,4.514800000000003,120.36000000000001,4.0,7.0,5.3872161432802645
426.80800000000016,4.514800000000003,120.36000000000001,4.0,7.0,4.301029995663981
426.80800000000016,4.514800000000003,120.36000000000001,4.0,7.0,5.2839966563652006
417.3730000000001,3.733080000000002,144.14999999999998,4.0,8.0,4.5951662833800615
417.3730000000001,3.733080000000002,144.14999999999998,4.0,8.0,5.568636235841013
438.81900000000013,4.832300000000003,98.36000000000001,2.0,7.0,4.301029995663981
438.81900000000013,4.832300000000003,98.36000000000001,2.0,7.0,5.031517051446065
438.81900000000013,4.832300000000003,98.36000000000001,2.0,7.0,4.301029995663981
438.81900000000013,4.832300000000003,98.36000000000001,2.0,7.0,4.8124792791635365
429.3840000000002,4.050580000000002,122.15,2.0,8.0,4.367542707815276
429.3840000000002,4.050580000000002,122.15,2.0,8.0,5.0915149811213505
327.12300000000005,3.859500000000001,92.47,2.0,4.0,4.3979400086720375
450.6190000000003,6.697700000000006,74.6,2.0,3.0,4.987162775294828
464.64600000000036,6.786100000000007,63.60000000000001,1.0,4.0,5.259637310505756
420.59300000000025,6.421900000000006,54.37,1.0,3.0,5.00436480540245
404.5940000000003,7.1630000000000065,37.3,1.0,2.0,5.585026652029182
452.63500000000033,6.643920000000007,77.76,3.0,3.0,4.663540266151471
368.3850000000001,3.852600000000003,96.22000000000001,3.0,6.0,4.628932137728263
368.39200000000005,4.219300000000003,69.97,1.0,3.0,4.7447274948966935
402.83700000000005,4.872700000000004,69.97,1.0,3.0,4.856985199745905
398.4180000000002,4.227900000000003,79.19999999999999,1.0,4.0,4.920818753952375
393.40200000000016,4.090980000000004,93.75999999999999,1.0,4.0,5.259637310505756
452.38800000000003,5.117900000000003,79.2,1.0,4.0,4.376750709602099
402.83700000000005,4.872700000000004,69.97,1.0,3.0,4.966576244513051
437.2820000000001,5.526100000000005,69.97,1.0,3.0,4.614393726401688
386.38200000000006,4.358400000000003,69.97,1.0,3.0,5.167491087293763
413.38900000000007,4.127500000000002,113.11,1.0,5.0,5.075720713938118
302.45799999999997,4.518200000000004,40.46,2.0,2.0,3.6560009309428385
302.458,4.516600000000004,40.46,2.0,2.0,3.6318991482906484
286.459,5.545800000000005,20.23,1.0,1.0,4.304518323509803
300.442,4.7248000000000046,37.3,1.0,2.0,3.7872798455821575
344.4950000000002,4.737900000000005,46.53,1.0,3.0,3.889747082646597
314.4690000000001,4.993300000000005,26.3,0.0,2.0,3.684029654543082
302.4580000000001,5.206200000000004,37.3,1.0,1.0,3.547446936771075
306.48999999999995,4.476400000000005,40.46,2.0,2.0,3.8610660597430764
538.4640000000002,5.134000000000007,181.8,6.0,10.0,5.080921907623926
552.4910000000003,5.437000000000006,170.8,5.0,10.0,4.140861702705469
566.5180000000003,5.740000000000006,159.8,4.0,10.0,4.494850021680094
580.5450000000003,6.043000000000007,148.8,3.0,10.0,4.4156687756324695
270.24,2.576800000000001,90.9,3.0,5.0,3.5516028965422324
286.23900000000003,2.2824000000000004,111.13000000000001,4.0,6.0,4.698970004336019
302.23800000000006,1.988,131.36,5.0,7.0,4.623423042943488
302.458,5.206200000000004,37.3,1.0,1.0,3.72330847115496
415.5470000000001,5.4185000000000025,69.62,1.0,7.0,4.233959139618611
482.5770000000003,3.883920000000003,99.54,2.0,7.0,4.202109516941651
